training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,trap_detected_timestamp_et,reclaim_detected_timestamp_et,classification_complete_timestamp_et,candidate_fired_timestamp_et,candidate_timing_driver,outcome_window_available,horizon_15m_complete,horizon_60m_complete,reclaim_price,entry_price,entry_timestamp_et,source_mode,source_label_status,accepted_for_timing_test,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,acceptance_score_timestamp_et,non_acceptance_score_timestamp_et,first_threshold_close_timestamp_et,non_acceptance_score,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,target_invalid_for_level_to_level,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
direct-e5f58bfe2d59138f,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1405,2026-04-29,2026-04-28,2026-04-28,source-scan:462b56b2b0faa42a,7180.0,7168.0,7180.0,2026-04-28T06:27:00-04:00,2026-04-28T08:42:00-04:00,2026-04-28T08:42:00-04:00,2026-04-28T08:42:00-04:00,reclaim_score,true,true,true,7180.25,7180.25,2026-04-28T08:42:00-04:00,context_recap,source_confirmed_fbd,true,1.0,0.5531,7,6.0,3.25,1.0,12.0,48.0,0.9135,2,1308.0,557.0,0.7975,0.6667,0.6818,5.5,1,2026-04-28T08:42:00-04:00,,,0.0,0,,0.0706,0.5786,0.75,true,12.5,0.06,7181.0,daily_plan_text,RESISTANCE_ONLY,2026-04-28,overnight_premarket,,3,1320,,ladder_first_reclaim,false,
direct-df64d6db8141fafe,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1415,2026-04-29,2026-04-28,2026-04-29,,7180.0,7161.0,7180.0,,,,,reclaim_score,false,false,false,7180.0,,,planned_setup,source_planned_fbd,false,0.55,0.8562,109,712.0,8.5,1.0,19.0,76.0,0.4815,2,1912.0,625.0,0.7435,0.0,,,0,,,,0.0,0,,0.0,0.4178,,true,,,7181.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,ladder_first_reclaim,true,no_reclaim;not_accepted_for_timing_test
direct-bc0d10edd9256069,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1415,2026-04-29,2026-04-28,2026-04-29,,7161.0,7161.0,7161.0,,,,,reclaim_score,false,false,false,7161.0,,,planned_setup,source_planned_fbd,false,0.55,0.6729,2,53.0,13.0,1.0,0.0,0.0,0.4815,0,1912.0,625.0,0.2602,0.0,,,0,,,,0.0,0,,0.0,0.2753,,true,,,7166.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
direct-ff69afa2586fff83,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1417,2026-04-29,2026-04-28,2026-04-29,,,,,,,,,reclaim_score,false,false,false,,,,context_recap,source_unparsed_fbd,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,1912.0,625.0,0.2,0.0,,,0,,,,0.0,0,,0.0,0.09,,true,,,,,,,missing,,1,869,,simple_reclaim_unclassified,true,no_source_data_only;missing_setup_level;no_reclaim
direct-6b0a982779f6dd7f,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1428,2026-04-29,2026-04-28,2026-04-29,,7185.0,,7185.0,,,,,reclaim_score,false,false,false,7185.0,,,context_recap,source_unparsed_fbd,false,0.0,0.7937,193,402.0,3.5,1.0,,,,0,1912.0,625.0,0.2,0.0,,,0,,,,0.0,0,,0.0,0.2384,,true,,,7186.0,source_row_target,target_or_response,2026-04-28,missing,,1,869,,simple_reclaim_unclassified,true,no_source_data_only;no_reclaim
direct-803350e9a8631621,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1442,2026-04-29,2026-04-28,2026-04-29,,7135.0,7149.0,7135.0,,,,,reclaim_score,false,false,false,7135.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,-14.0,-56.0,0.9259,2,1912.0,625.0,0.4491,0.0,,,0,,,,0.0,0,,0.0,0.1948,,true,,,7147.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
direct-1961ca10363b6256,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1442,2026-04-29,2026-04-28,2026-04-29,,7180.0,7149.0,7180.0,,,,,reclaim_score,false,false,false,7180.0,,,planned_setup,source_planned_fbd,false,0.55,0.8562,109,712.0,8.5,1.0,31.0,124.0,0.9259,4,1912.0,625.0,0.8657,0.0,,,0,,,,0.0,0,,0.0,0.4422,,true,,,7181.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,ladder_first_reclaim,true,no_reclaim;not_accepted_for_timing_test
direct-17a72334f349e9b4,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1442,2026-04-29,2026-04-28,2026-04-29,,7149.0,7149.0,7149.0,,,,,reclaim_score,false,false,false,7149.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,0.0,0.0,0.9259,0,1912.0,625.0,0.3157,0.0,,,0,,,,0.0,0,,0.0,0.1681,,true,,,7160.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
direct-5f2b8eec36cf0a42,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1444,2026-04-29,2026-04-28,2026-04-29,,,,,,,,,reclaim_score,false,false,false,,,,planned_setup,source_unparsed_fbd,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,1912.0,625.0,0.2,0.0,,,0,,,,0.0,0,,0.0,0.09,,true,,,,,,,missing,,1,869,,simple_reclaim_unclassified,true,no_source_data_only;missing_setup_level;no_reclaim
direct-805e5d084a450d38,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1450,2026-04-29,2026-04-28,2026-04-28,source-scan:0ea41056369b28e7,7147.0,7146.0,7147.0,2026-04-28T09:51:00-04:00,2026-04-28T09:52:00-04:00,2026-04-28T09:54:00-04:00,2026-04-28T09:54:00-04:00,reclaim_score,true,true,true,7154.0,7150.25,2026-04-28T09:54:00-04:00,data_context,source_confirmed_fbd,true,1.0,0.55,1,0.0,36.0,1.0,1.0,4.0,0.8083,0,6127.0,4200.0,0.2907,1.0,0.9545,5.5,3,2026-04-28T09:54:00-04:00,2026-04-28T09:53:00-04:00,2026-04-28T09:52:00-04:00,0.6,2,,0.76,0.6976,9.75,false,4.5,2.1667,7160.0,daily_plan_text,SUPPORT_LEVEL,2026-04-28,rth_open,,2,1320,,non_acceptance_protocol,false,
direct-6ce1e0f6c217d895,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1476,2026-04-29,2026-04-28,2026-04-29,,7085.0,7068.0,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,17.0,68.0,3.9259,3,1912.0,625.0,1.0,0.0,,,0,,,,0.0,0,,0.0,0.305,,true,,,7147.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,ladder_first_reclaim,true,no_reclaim;not_accepted_for_timing_test
direct-4549f44eb3746a2e,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1476,2026-04-29,2026-04-28,2026-04-29,,7104.0,7068.0,7104.0,,,,,reclaim_score,false,false,false,7104.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,36.0,144.0,3.9259,5,1912.0,625.0,1.0,0.0,,,0,,,,0.0,0,,0.0,0.305,,true,,,7147.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,ladder_first_reclaim,true,no_reclaim;not_accepted_for_timing_test
direct-86642a2d641c2e4c,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1476,2026-04-29,2026-04-28,2026-04-29,,7068.0,7068.0,7068.0,,,,,reclaim_score,false,false,false,7068.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,0.0,0.0,3.9259,0,1912.0,625.0,0.45,0.0,,,0,,,,0.0,0,,0.0,0.195,,true,,,7080.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
