timestamp_et,open,high,low,close,volume
2026-03-26T14:03:00-04:00,6542.0,6542.5,6538.25,6539.0,2989.0
2026-03-26T14:04:00-04:00,6539.25,6539.75,6538.25,6538.75,1719.0
2026-03-26T14:05:00-04:00,6539.0,6539.5,6537.25,6538.25,1892.0
2026-03-26T14:06:00-04:00,6538.0,6538.75,6535.0,6536.0,3286.0
2026-03-26T14:07:00-04:00,6536.25,6538.0,6535.25,6535.25,2091.0
2026-03-26T14:08:00-04:00,6535.25,6535.75,6530.75,6534.5,4848.0
2026-03-26T14:09:00-04:00,6534.75,6535.5,6533.75,6534.0,2098.0
2026-03-26T14:10:00-04:00,6534.25,6535.25,6530.75,6532.25,2134.0
2026-03-26T14:11:00-04:00,6532.25,6533.25,6531.25,6532.25,2752.0
2026-03-26T14:12:00-04:00,6532.25,6533.25,6531.0,6532.0,3547.0
2026-03-26T14:13:00-04:00,6532.0,6532.25,6530.5,6531.25,1902.0
2026-03-26T14:14:00-04:00,6531.25,6534.75,6531.25,6534.25,3129.0
2026-03-26T14:15:00-04:00,6534.25,6537.75,6533.75,6537.25,3626.0
2026-03-26T14:16:00-04:00,6537.0,6537.5,6535.25,6537.0,2609.0
2026-03-26T14:17:00-04:00,6536.75,6538.5,6536.0,6538.0,1951.0
2026-03-26T14:18:00-04:00,6538.0,6538.75,6535.75,6537.5,2009.0
2026-03-26T14:19:00-04:00,6537.75,6538.5,6536.75,6537.5,1608.0
2026-03-26T14:20:00-04:00,6537.25,6537.75,6534.75,6535.75,2120.0
2026-03-26T14:21:00-04:00,6535.75,6536.25,6534.25,6535.5,1705.0
2026-03-26T14:22:00-04:00,6535.25,6535.25,6533.25,6534.75,1624.0
2026-03-26T14:23:00-04:00,6534.5,6535.5,6533.75,6534.0,1532.0
2026-03-26T14:24:00-04:00,6533.75,6534.0,6532.5,6533.0,1820.0
2026-03-26T14:25:00-04:00,6532.75,6533.75,6530.0,6530.5,2661.0
2026-03-26T14:26:00-04:00,6530.5,6532.0,6530.5,6531.5,1789.0
2026-03-26T14:27:00-04:00,6531.25,6532.5,6531.0,6531.75,1524.0
2026-03-26T14:28:00-04:00,6532.0,6532.5,6530.25,6531.25,1712.0
2026-03-26T14:29:00-04:00,6531.0,6534.25,6530.75,6534.0,2366.0
2026-03-26T14:30:00-04:00,6534.0,6534.5,6531.25,6532.25,2584.0
2026-03-26T14:31:00-04:00,6532.0,6532.25,6526.5,6527.5,4351.0
2026-03-26T14:32:00-04:00,6527.25,6528.0,6526.0,6527.0,2777.0
2026-03-26T14:33:00-04:00,6526.75,6528.0,6526.0,6527.25,2141.0
