timestamp_et,open,high,low,close,volume
2026-04-22T14:45:00-04:00,7162.5,7163.25,7162.0,7162.5,1690.0
2026-04-22T14:46:00-04:00,7162.25,7163.25,7162.25,7163.0,1480.0
2026-04-22T14:47:00-04:00,7163.0,7165.25,7163.0,7164.0,2882.0
2026-04-22T14:48:00-04:00,7164.0,7164.75,7163.5,7164.75,1421.0
2026-04-22T14:49:00-04:00,7164.75,7165.75,7164.0,7165.75,2016.0
2026-04-22T14:50:00-04:00,7165.5,7168.0,7162.75,7167.75,10215.0
2026-04-22T14:51:00-04:00,7167.75,7169.75,7167.0,7167.5,3687.0
2026-04-22T14:52:00-04:00,7167.5,7167.5,7165.5,7165.75,3179.0
2026-04-22T14:53:00-04:00,7166.0,7168.5,7165.5,7168.0,3800.0
2026-04-22T14:54:00-04:00,7168.25,7171.5,7168.25,7168.75,5121.0
2026-04-22T14:55:00-04:00,7168.75,7170.25,7167.25,7168.75,7975.0
2026-04-22T14:56:00-04:00,7168.5,7169.75,7168.0,7169.5,3367.0
2026-04-22T14:57:00-04:00,7169.75,7171.0,7169.0,7170.0,3873.0
2026-04-22T14:58:00-04:00,7170.0,7171.5,7169.5,7171.0,5557.0
2026-04-22T14:59:00-04:00,7171.0,7173.0,7169.75,7170.25,48518.0
2026-04-22T15:00:00-04:00,7170.25,7171.75,7167.0,7167.25,11085.0
2026-04-22T15:01:00-04:00,7167.75,7169.75,7166.5,7168.75,2978.0
2026-04-22T15:02:00-04:00,7169.0,7173.0,7168.25,7170.25,2745.0
2026-04-22T15:03:00-04:00,7170.5,7171.0,7169.5,7170.25,1349.0
2026-04-22T15:04:00-04:00,7170.5,7171.75,7169.0,7170.5,1810.0
2026-04-22T15:05:00-04:00,7170.25,7172.0,7169.75,7170.25,2307.0
2026-04-22T15:06:00-04:00,7170.25,7171.0,7169.25,7170.75,1225.0
2026-04-22T15:07:00-04:00,7170.5,7171.0,7169.5,7170.5,977.0
2026-04-22T15:08:00-04:00,7170.25,7171.0,7169.75,7170.25,849.0
2026-04-22T15:09:00-04:00,7170.0,7170.75,7169.0,7169.5,593.0
2026-04-22T15:10:00-04:00,7169.25,7169.5,7167.0,7167.5,1198.0
2026-04-22T15:11:00-04:00,7167.5,7167.5,7166.0,7166.75,915.0
2026-04-22T15:12:00-04:00,7166.75,7166.75,7164.25,7164.25,892.0
2026-04-22T15:13:00-04:00,7164.5,7165.75,7163.5,7165.5,1349.0
2026-04-22T15:14:00-04:00,7165.5,7166.0,7163.25,7163.75,1224.0
2026-04-22T15:15:00-04:00,7163.5,7165.25,7163.25,7163.5,682.0
