timestamp_et,open,high,low,close,volume
2026-03-03T19:13:00-05:00,6812.75,6815.0,6811.25,6811.5,354.0
2026-03-03T19:14:00-05:00,6811.75,6812.75,6810.5,6811.25,256.0
2026-03-03T19:15:00-05:00,6811.25,6812.75,6809.75,6811.75,282.0
2026-03-03T19:16:00-05:00,6811.75,6814.5,6811.25,6811.25,291.0
2026-03-03T19:17:00-05:00,6811.0,6813.25,6810.0,6810.25,283.0
2026-03-03T19:18:00-05:00,6810.5,6812.25,6808.5,6809.25,471.0
2026-03-03T19:19:00-05:00,6809.0,6811.5,6808.5,6809.75,315.0
2026-03-03T19:20:00-05:00,6809.75,6810.0,6806.75,6808.0,425.0
2026-03-03T19:21:00-05:00,6808.0,6808.0,6800.25,6801.0,1276.0
2026-03-03T19:22:00-05:00,6801.25,6804.0,6799.25,6803.75,695.0
2026-03-03T19:23:00-05:00,6804.0,6805.0,6796.75,6798.25,762.0
2026-03-03T19:24:00-05:00,6798.25,6800.25,6796.25,6799.5,724.0
2026-03-03T19:25:00-05:00,6799.5,6802.25,6797.5,6801.75,895.0
2026-03-03T19:26:00-05:00,6801.5,6803.25,6800.0,6801.0,345.0
2026-03-03T19:27:00-05:00,6801.25,6803.5,6799.5,6801.75,286.0
2026-03-03T19:28:00-05:00,6801.75,6802.25,6798.5,6802.25,278.0
2026-03-03T19:29:00-05:00,6802.0,6803.75,6799.0,6799.5,346.0
2026-03-03T19:30:00-05:00,6799.25,6801.75,6796.5,6797.0,505.0
2026-03-03T19:31:00-05:00,6797.0,6800.0,6795.25,6797.75,483.0
2026-03-03T19:32:00-05:00,6797.75,6801.0,6796.5,6799.25,460.0
2026-03-03T19:33:00-05:00,6799.5,6800.5,6797.5,6797.75,342.0
2026-03-03T19:34:00-05:00,6798.0,6803.0,6796.75,6798.25,1681.0
2026-03-03T19:35:00-05:00,6798.5,6803.75,6798.5,6803.0,696.0
2026-03-03T19:36:00-05:00,6802.5,6803.75,6801.25,6801.75,321.0
2026-03-03T19:37:00-05:00,6801.75,6804.5,6801.5,6803.75,631.0
2026-03-03T19:38:00-05:00,6804.25,6810.5,6804.25,6808.5,1025.0
2026-03-03T19:39:00-05:00,6808.75,6810.5,6807.0,6807.25,364.0
2026-03-03T19:40:00-05:00,6807.0,6810.0,6806.0,6809.75,362.0
2026-03-03T19:41:00-05:00,6809.5,6809.75,6805.25,6807.75,271.0
2026-03-03T19:42:00-05:00,6808.0,6812.5,6807.25,6810.5,377.0
2026-03-03T19:43:00-05:00,6810.75,6814.0,6810.5,6811.75,416.0
