timestamp_et,open,high,low,close,volume
2026-03-18T12:00:00-04:00,6676.5,6677.75,6675.0,6675.0,227.0
2026-03-18T12:01:00-04:00,6675.25,6675.5,6668.75,6669.75,357.0
2026-03-18T12:02:00-04:00,6669.5,6671.75,6669.5,6671.5,365.0
2026-03-18T12:03:00-04:00,6671.5,6673.0,6671.5,6671.75,334.0
2026-03-18T12:04:00-04:00,6671.75,6674.5,6671.75,6674.0,272.0
2026-03-18T12:05:00-04:00,6674.0,6674.75,6672.0,6672.0,263.0
2026-03-18T12:06:00-04:00,6671.75,6675.0,6670.75,6675.0,202.0
2026-03-18T12:07:00-04:00,6675.0,6675.5,6673.75,6675.5,95.0
2026-03-18T12:08:00-04:00,6675.25,6675.25,6670.75,6670.75,111.0
2026-03-18T12:09:00-04:00,6670.75,6671.5,6670.0,6670.5,129.0
2026-03-18T12:10:00-04:00,6670.5,6672.0,6670.25,6671.0,145.0
2026-03-18T12:11:00-04:00,6670.75,6671.25,6665.75,6666.0,316.0
2026-03-18T12:12:00-04:00,6666.0,6668.75,6666.0,6668.25,285.0
2026-03-18T12:13:00-04:00,6668.25,6669.75,6667.5,6668.0,267.0
2026-03-18T12:14:00-04:00,6668.0,6668.75,6667.0,6667.75,124.0
2026-03-18T12:15:00-04:00,6667.5,6669.25,6667.0,6667.5,141.0
2026-03-18T12:16:00-04:00,6667.25,6669.25,6665.75,6667.5,292.0
2026-03-18T12:17:00-04:00,6668.0,6670.5,6668.0,6669.25,197.0
2026-03-18T12:18:00-04:00,6669.0,6670.5,6668.5,6670.0,115.0
2026-03-18T12:19:00-04:00,6670.25,6671.5,6670.0,6670.75,118.0
2026-03-18T12:20:00-04:00,6671.0,6671.5,6669.5,6670.5,161.0
2026-03-18T12:21:00-04:00,6670.5,6672.75,6670.0,6670.5,155.0
2026-03-18T12:22:00-04:00,6670.25,6671.5,6669.5,6670.0,135.0
2026-03-18T12:23:00-04:00,6669.75,6672.0,6669.75,6671.5,196.0
2026-03-18T12:24:00-04:00,6671.5,6672.5,6670.25,6672.0,107.0
2026-03-18T12:25:00-04:00,6671.5,6671.5,6668.75,6669.25,127.0
2026-03-18T12:26:00-04:00,6669.25,6670.25,6668.25,6670.25,90.0
2026-03-18T12:27:00-04:00,6670.25,6670.5,6669.25,6670.5,131.0
2026-03-18T12:28:00-04:00,6670.25,6670.25,6668.75,6669.75,137.0
2026-03-18T12:29:00-04:00,6670.0,6670.25,6669.25,6669.25,75.0
2026-03-18T12:30:00-04:00,6669.75,6671.0,6666.5,6666.5,222.0
