timestamp_et,open,high,low,close,volume
2026-03-18T00:05:00-04:00,6748.5,6748.5,6748.0,6748.25,12.0
2026-03-18T00:06:00-04:00,6748.25,6748.25,6747.5,6747.75,25.0
2026-03-18T00:07:00-04:00,6748.0,6748.0,6747.75,6747.75,9.0
2026-03-18T00:08:00-04:00,6748.0,6748.25,6747.75,6747.75,13.0
2026-03-18T00:09:00-04:00,6748.25,6748.25,6747.75,6748.0,10.0
2026-03-18T00:10:00-04:00,6748.0,6748.25,6748.0,6748.25,5.0
2026-03-18T00:11:00-04:00,6748.75,6749.5,6748.5,6749.5,17.0
2026-03-18T00:12:00-04:00,6749.5,6749.5,6748.75,6749.0,16.0
2026-03-18T00:13:00-04:00,6749.0,6749.25,6749.0,6749.0,9.0
2026-03-18T00:14:00-04:00,6749.5,6750.0,6749.0,6749.0,26.0
2026-03-18T00:15:00-04:00,6749.25,6749.5,6749.0,6749.25,39.0
2026-03-18T00:16:00-04:00,6749.25,6749.25,6749.0,6749.0,15.0
2026-03-18T00:17:00-04:00,6749.25,6749.75,6749.0,6749.75,18.0
2026-03-18T00:18:00-04:00,6750.0,6750.5,6750.0,6750.5,34.0
2026-03-18T00:19:00-04:00,6750.5,6750.5,6750.25,6750.25,9.0
2026-03-18T00:20:00-04:00,6750.0,6750.0,6749.0,6749.0,20.0
2026-03-18T00:21:00-04:00,6749.25,6749.25,6749.25,6749.25,3.0
2026-03-18T00:22:00-04:00,6749.5,6750.0,6749.5,6749.75,9.0
2026-03-18T00:23:00-04:00,6749.75,6750.0,6749.75,6750.0,15.0
2026-03-18T00:24:00-04:00,6750.0,6750.25,6750.0,6750.0,6.0
2026-03-18T00:25:00-04:00,6750.25,6750.5,6750.25,6750.5,13.0
2026-03-18T00:26:00-04:00,6750.5,6751.25,6750.25,6751.0,16.0
2026-03-18T00:27:00-04:00,6751.0,6751.5,6750.5,6750.5,57.0
2026-03-18T00:28:00-04:00,6750.5,6750.75,6750.5,6750.75,6.0
2026-03-18T00:29:00-04:00,6750.5,6751.25,6750.5,6750.75,25.0
2026-03-18T00:30:00-04:00,6751.0,6752.5,6751.0,6752.25,42.0
2026-03-18T00:31:00-04:00,6752.25,6752.25,6751.5,6752.0,10.0
2026-03-18T00:32:00-04:00,6752.25,6752.25,6751.75,6751.75,14.0
2026-03-18T00:33:00-04:00,6752.0,6752.5,6751.75,6752.0,5.0
2026-03-18T00:34:00-04:00,6752.0,6752.0,6751.0,6751.0,39.0
2026-03-18T00:35:00-04:00,6750.75,6751.5,6750.75,6751.5,26.0
