timestamp_et,open,high,low,close,volume
2026-03-18T00:55:00-04:00,6752.75,6752.75,6752.75,6752.75,14.0
2026-03-18T00:56:00-04:00,6752.75,6753.0,6752.25,6752.25,18.0
2026-03-18T00:57:00-04:00,6752.5,6753.0,6752.5,6753.0,4.0
2026-03-18T00:58:00-04:00,6753.0,6753.0,6753.0,6753.0,8.0
2026-03-18T00:59:00-04:00,6753.0,6753.0,6753.0,6753.0,3.0
2026-03-18T01:00:00-04:00,6753.0,6753.75,6752.5,6753.75,52.0
2026-03-18T01:01:00-04:00,6753.5,6753.75,6753.25,6753.75,23.0
2026-03-18T01:02:00-04:00,6753.5,6753.75,6753.0,6753.0,27.0
2026-03-18T01:03:00-04:00,6752.75,6753.25,6752.75,6753.0,27.0
2026-03-18T01:04:00-04:00,6753.25,6753.25,6752.0,6752.5,56.0
2026-03-18T01:05:00-04:00,6752.5,6753.75,6752.5,6753.5,30.0
2026-03-18T01:06:00-04:00,6753.5,6753.75,6753.25,6753.5,13.0
2026-03-18T01:07:00-04:00,6753.5,6754.75,6753.5,6754.25,90.0
2026-03-18T01:08:00-04:00,6754.5,6754.75,6754.25,6754.75,19.0
2026-03-18T01:09:00-04:00,6754.75,6755.0,6754.5,6755.0,32.0
2026-03-18T01:10:00-04:00,6755.0,6755.0,6754.75,6754.75,16.0
2026-03-18T01:11:00-04:00,6755.0,6756.0,6755.0,6755.0,55.0
2026-03-18T01:12:00-04:00,6755.0,6755.0,6754.5,6755.0,30.0
2026-03-18T01:13:00-04:00,6755.0,6755.0,6754.5,6754.5,29.0
2026-03-18T01:14:00-04:00,6754.5,6754.5,6754.0,6754.25,24.0
2026-03-18T01:15:00-04:00,6754.5,6754.5,6753.25,6754.0,50.0
2026-03-18T01:16:00-04:00,6753.75,6753.75,6753.25,6753.5,32.0
2026-03-18T01:17:00-04:00,6753.75,6755.25,6753.75,6754.75,21.0
2026-03-18T01:18:00-04:00,6755.0,6756.0,6755.0,6756.0,26.0
2026-03-18T01:19:00-04:00,6756.0,6756.5,6755.75,6756.0,32.0
2026-03-18T01:20:00-04:00,6756.25,6758.75,6756.25,6758.0,100.0
2026-03-18T01:21:00-04:00,6757.75,6758.0,6757.25,6757.75,23.0
2026-03-18T01:22:00-04:00,6757.75,6757.75,6756.25,6756.5,90.0
2026-03-18T01:23:00-04:00,6757.0,6757.5,6757.0,6757.25,45.0
2026-03-18T01:24:00-04:00,6757.75,6760.25,6757.75,6759.5,87.0
2026-03-18T01:25:00-04:00,6759.25,6761.5,6759.25,6761.25,80.0
