timestamp_et,open,high,low,close,volume
2026-03-18T00:36:00-04:00,6751.5,6751.75,6751.25,6751.75,11.0
2026-03-18T00:37:00-04:00,6751.5,6751.75,6751.5,6751.75,35.0
2026-03-18T00:38:00-04:00,6751.5,6751.75,6751.25,6751.75,7.0
2026-03-18T00:39:00-04:00,6751.75,6752.0,6751.75,6751.75,14.0
2026-03-18T00:40:00-04:00,6751.75,6751.75,6751.5,6751.5,14.0
2026-03-18T00:41:00-04:00,6751.25,6752.0,6751.25,6752.0,10.0
2026-03-18T00:42:00-04:00,6752.0,6752.5,6752.0,6752.5,14.0
2026-03-18T00:43:00-04:00,6752.25,6752.25,6751.75,6751.75,22.0
2026-03-18T00:44:00-04:00,6752.0,6752.25,6752.0,6752.25,7.0
2026-03-18T00:45:00-04:00,6752.0,6752.25,6751.5,6751.75,40.0
2026-03-18T00:46:00-04:00,6751.75,6751.75,6751.75,6751.75,1.0
2026-03-18T00:47:00-04:00,6751.75,6752.75,6751.5,6751.75,24.0
2026-03-18T00:48:00-04:00,6751.75,6752.5,6751.75,6752.5,14.0
2026-03-18T00:49:00-04:00,6752.75,6753.25,6752.75,6753.0,25.0
2026-03-18T00:50:00-04:00,6753.0,6753.0,6752.5,6752.5,16.0
2026-03-18T00:51:00-04:00,6752.5,6752.5,6752.0,6752.0,10.0
2026-03-18T00:52:00-04:00,6752.25,6752.25,6751.75,6751.75,6.0
2026-03-18T00:53:00-04:00,6752.25,6752.75,6752.25,6752.75,28.0
2026-03-18T00:54:00-04:00,6753.0,6753.0,6752.75,6753.0,12.0
2026-03-18T00:55:00-04:00,6752.75,6752.75,6752.75,6752.75,14.0
2026-03-18T00:56:00-04:00,6752.75,6753.0,6752.25,6752.25,18.0
2026-03-18T00:57:00-04:00,6752.5,6753.0,6752.5,6753.0,4.0
2026-03-18T00:58:00-04:00,6753.0,6753.0,6753.0,6753.0,8.0
2026-03-18T00:59:00-04:00,6753.0,6753.0,6753.0,6753.0,3.0
2026-03-18T01:00:00-04:00,6753.0,6753.75,6752.5,6753.75,52.0
2026-03-18T01:01:00-04:00,6753.5,6753.75,6753.25,6753.75,23.0
2026-03-18T01:02:00-04:00,6753.5,6753.75,6753.0,6753.0,27.0
2026-03-18T01:03:00-04:00,6752.75,6753.25,6752.75,6753.0,27.0
2026-03-18T01:04:00-04:00,6753.25,6753.25,6752.0,6752.5,56.0
2026-03-18T01:05:00-04:00,6752.5,6753.75,6752.5,6753.5,30.0
2026-03-18T01:06:00-04:00,6753.5,6753.75,6753.25,6753.5,13.0
