timestamp_et,open,high,low,close,volume
2026-03-13T01:55:00-04:00,6669.0,6670.75,6668.0,6668.5,255.0
2026-03-13T01:56:00-04:00,6668.5,6669.25,6667.5,6668.25,204.0
2026-03-13T01:57:00-04:00,6668.5,6670.75,6667.75,6670.25,179.0
2026-03-13T01:58:00-04:00,6670.25,6670.5,6668.75,6669.0,120.0
2026-03-13T01:59:00-04:00,6669.25,6669.25,6667.5,6668.25,154.0
2026-03-13T02:00:00-04:00,6668.0,6669.75,6667.75,6668.25,372.0
2026-03-13T02:01:00-04:00,6668.25,6668.25,6665.5,6667.0,512.0
2026-03-13T02:02:00-04:00,6667.0,6667.0,6664.25,6665.0,461.0
2026-03-13T02:03:00-04:00,6665.25,6666.0,6664.5,6665.0,213.0
2026-03-13T02:04:00-04:00,6664.75,6665.0,6662.75,6663.25,568.0
2026-03-13T02:05:00-04:00,6663.25,6663.5,6660.25,6661.25,562.0
2026-03-13T02:06:00-04:00,6661.25,6662.25,6655.75,6655.75,1334.0
2026-03-13T02:07:00-04:00,6655.75,6659.25,6655.75,6657.25,380.0
2026-03-13T02:08:00-04:00,6657.25,6658.75,6656.5,6658.0,295.0
2026-03-13T02:09:00-04:00,6658.25,6658.75,6656.25,6656.5,314.0
2026-03-13T02:10:00-04:00,6656.75,6658.25,6654.75,6657.75,482.0
2026-03-13T02:11:00-04:00,6657.75,6658.0,6655.75,6657.5,349.0
2026-03-13T02:12:00-04:00,6657.5,6659.0,6657.0,6657.0,326.0
2026-03-13T02:13:00-04:00,6656.75,6656.75,6654.5,6655.5,390.0
2026-03-13T02:14:00-04:00,6655.75,6657.5,6655.5,6655.75,279.0
2026-03-13T02:15:00-04:00,6655.5,6655.75,6654.0,6654.75,398.0
2026-03-13T02:16:00-04:00,6654.5,6656.0,6652.25,6655.5,411.0
2026-03-13T02:17:00-04:00,6655.25,6656.25,6653.5,6654.0,270.0
2026-03-13T02:18:00-04:00,6654.0,6656.25,6653.25,6655.25,304.0
2026-03-13T02:19:00-04:00,6655.0,6656.5,6654.25,6656.0,308.0
2026-03-13T02:20:00-04:00,6656.0,6656.5,6655.25,6655.75,194.0
2026-03-13T02:21:00-04:00,6655.75,6656.0,6652.25,6652.25,254.0
2026-03-13T02:22:00-04:00,6652.25,6652.25,6650.5,6651.5,450.0
2026-03-13T02:23:00-04:00,6651.0,6654.25,6651.0,6653.5,267.0
2026-03-13T02:24:00-04:00,6653.5,6656.75,6653.0,6656.75,321.0
2026-03-13T02:25:00-04:00,6656.75,6657.5,6656.25,6657.0,377.0
