target_date,reference_session,previous_close,atr14,warmup_sessions,valid,label,price
2026-03-13,2026-03-12,6685.25,111.48,14,false,ATR+1,6796.73
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext+4,6772.87
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext+3,6754.15
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext+2,6740.99
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext+1,6727.84
2026-03-13,2026-03-12,6685.25,111.48,14,false,CALL_TRIGGER,6711.56
2026-03-13,2026-03-12,6685.25,111.48,14,false,PREV_CLOSE,6685.25
2026-03-13,2026-03-12,6685.25,111.48,14,false,PUT_TRIGGER,6658.94
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext-1,6642.66
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext-2,6629.51
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext-3,6616.35
2026-03-13,2026-03-12,6685.25,111.48,14,false,ext-4,6597.63
2026-03-13,2026-03-12,6685.25,111.48,14,false,ATR-1,6573.77
2026-03-16,2026-03-13,6625.25,111.55,15,false,ATR+1,6736.8
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext+4,6712.93
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext+3,6694.19
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext+2,6681.03
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext+1,6667.86
2026-03-16,2026-03-13,6625.25,111.55,15,false,CALL_TRIGGER,6651.58
2026-03-16,2026-03-13,6625.25,111.55,15,false,PREV_CLOSE,6625.25
2026-03-16,2026-03-13,6625.25,111.55,15,false,PUT_TRIGGER,6598.92
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext-1,6582.64
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext-2,6569.47
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext-3,6556.31
2026-03-16,2026-03-13,6625.25,111.55,15,false,ext-4,6537.57
2026-03-16,2026-03-13,6625.25,111.55,15,false,ATR-1,6513.7
2026-03-17,2026-03-16,6699.25,112.57,16,false,ATR+1,6811.82
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext+4,6787.73
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext+3,6768.82
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext+2,6755.53
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext+1,6742.25
2026-03-17,2026-03-16,6699.25,112.57,16,false,CALL_TRIGGER,6725.82
2026-03-17,2026-03-16,6699.25,112.57,16,false,PREV_CLOSE,6699.25
2026-03-17,2026-03-16,6699.25,112.57,16,false,PUT_TRIGGER,6672.68
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext-1,6656.25
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext-2,6642.97
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext-3,6629.68
2026-03-17,2026-03-16,6699.25,112.57,16,false,ext-4,6610.77
2026-03-17,2026-03-16,6699.25,112.57,16,false,ATR-1,6586.68
2026-03-18,2026-03-17,6723,111.12,17,false,ATR+1,6834.12
