source_id,source_kind,source_path,ocr_verified,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,major,tags,source,snippet
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6517,6517,6517,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6517 (major).
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6528,6528,6528,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6528
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6535,6535,6535,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6535
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6542,6542,6542,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6542 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6548,6548,6548,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6548
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6555,6555,6555,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6555
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6564,6564,6564,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6564
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6572,6572,6572,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6572 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6583,6583,6583,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6583
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6589,6589,6589,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6589 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6598,6598,6598,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6598 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6604,6604,6604,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6604
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6610,6610,6610,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6610 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6619,6619,6619,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6619
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6631,6631,6631,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6631 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6639,6639,6639,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6639
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6646,6646,6646,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6646
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6652,6652,6652,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6652 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6657,6657,6657,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6657
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6664,6664,6664,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6664 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6672,6672,6672,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6672
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6681,6681,6681,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6681 (major)
