level_id,source_id,source_kind,source_path,ocr_verified,source_snippet,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,tags,long_eligible,bars_in_session,saty_valid,nearest_saty_label,nearest_saty_price,nearest_saty_distance,event_status,touch_ct,touch_et,sweep_ct,sweep_et,sweep_low,sweep_depth_points,reclaim_ct,reclaim_et,sweep_reclaim_same_bar,acceptance2_ct,acceptance2_et,acceptance3_ct,acceptance3_et,nonacceptance2_ct,nonacceptance2_et,entry_model,entry_ct,entry_et,entry_price,horizon_5m_complete,mfe_5m,mae_5m,hit_2pt_5m,hit_4pt_5m,hit_8pt_5m,hit_10pt_5m,horizon_15m_complete,mfe_15m,mae_15m,hit_2pt_15m,hit_4pt_15m,hit_8pt_15m,hit_10pt_15m,horizon_30m_complete,mfe_30m,mae_30m,hit_2pt_30m,hit_4pt_30m,hit_8pt_30m,hit_10pt_30m,horizon_60m_complete,mfe_60m,mae_60m,hit_2pt_60m,hit_4pt_60m,hit_8pt_60m,hit_10pt_60m,mfe_eod,mae_eod,hit_2pt_eod,hit_4pt_eod,hit_8pt_eod,hit_10pt_eod,eod_complete
b206481b0745,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6610 (major),2026-02-20,2026-02-19,6610,6610,6610,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b9745154ea,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6619,2026-02-20,2026-02-19,6619,6619,6619,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c999ca8548b3,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6631 (major),2026-02-20,2026-02-19,6631,6631,6631,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d48bfff7eedf,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6639,2026-02-20,2026-02-19,6639,6639,6639,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99bd9a7d7439,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6646,2026-02-20,2026-02-19,6646,6646,6646,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61b5c7020298,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6652 (major),2026-02-20,2026-02-19,6652,6652,6652,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffa61337e0c9,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6657,2026-02-20,2026-02-19,6657,6657,6657,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e07b33d4c65e,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6664 (major),2026-02-20,2026-02-19,6664,6664,6664,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7a996092949,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6672,2026-02-20,2026-02-19,6672,6672,6672,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba9798917c4f,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6681 (major),2026-02-20,2026-02-19,6681,6681,6681,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98fdfbc8d094,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6689,2026-02-20,2026-02-19,6689,6689,6689,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd5d1aa71392,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6697 (major),2026-02-20,2026-02-19,6697,6697,6697,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482422ad7832,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6704 (major),2026-02-20,2026-02-19,6704,6704,6704,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ced9275a8c63,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6710,2026-02-20,2026-02-19,6710,6710,6710,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e89884557908,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6716,2026-02-20,2026-02-19,6716,6716,6716,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74a39842a802,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6727 (major),2026-02-20,2026-02-19,6727,6727,6727,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0972f4522125,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6732 (major),2026-02-20,2026-02-19,6732,6732,6732,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bba4e37e73f,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6736,2026-02-20,2026-02-19,6736,6736,6736,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438d53907853,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6743,2026-02-20,2026-02-19,6743,6743,6743,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375c7c5f304e,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6752,2026-02-20,2026-02-19,6752,6752,6752,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a8a2cef2fd5,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6758 (major),2026-02-20,2026-02-19,6758,6758,6758,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8afaf1e192c1,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6764,2026-02-20,2026-02-19,6764,6764,6764,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca17167438c0,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6772 (major),2026-02-20,2026-02-19,6772,6772,6772,FAILED_BREAKDOWN_RECLAIM,support,major|failed_breakdown_reclaim,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
