training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,entry_price,entry_timestamp_et,source_mode,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,non_acceptance_score,non_acceptance_score_with_outcome_audit,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
direct-2cb39b390b8b62b7,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,49,2026-03-18,2026-03-17,2026-03-19,,6612.0,6588.0,6612.0,6612.75,2026-03-18T18:00:00-04:00,actual_recap,1.0,1.0,127,1266.0,32.5,1.0,24.0,96.0,1.4375,3,23.0,9.0,0.9297,1.0,0.5,0.5,16,0.6,0.7,2,,0.7,0.9259,59.25,25.0,2.37,6672.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,post_rth,,2,1320,,ladder_first_reclaim,true,no_reclaim
direct-3640ae2eb6291db3,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,62,2026-03-13,2026-03-12,2026-03-09,,6612.0,6588.0,6612.0,6641.5,2026-03-08T18:00:00-04:00,actual_recap,1.0,1.0,63,248.0,206.5,1.0,24.0,96.0,208.5,3,980.0,689.0,0.9422,0.8,0.125,6.0,16,0.7,0.7,16,,0.5698,0.8524,51.5,53.75,0.9581,6693.0,daily_plan_text,SUPPORT_LEVEL,2026-03-12,post_rth,,1,1320,,ladder_first_reclaim,true,no_reclaim;future_target_leakage;source_after_entry_leakage
direct-ee7a2915c3609b89,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,70,2026-03-13,2026-03-12,2026-03-13,,6769.0,,6769.0,6769.0,,context_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.5125,0.2175,3.0,,12.0,6772.0,daily_plan_text,RESISTANCE_ONLY,2026-03-12,missing,,3,1320,,simple_reclaim_unclassified,true,no_reclaim
direct-f68eb8d3f8812d8b,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,70,2026-03-13,2026-03-12,2026-03-13,,6612.0,,6612.0,6692.0,2026-03-12T18:00:00-04:00,context_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,1.0,0.625,2.0,16,0.7,0.8,16,,0.2875,0.4225,1.0,,4.0,6693.0,daily_plan_text,RESISTANCE_ONLY,2026-03-12,post_rth,,3,1320,,simple_reclaim_unclassified,true,no_reclaim;target_too_close_for_slippage
direct-16ade99995f8d075,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,76,2026-03-13,2026-03-12,2026-03-09,,6612.0,6588.0,6612.0,6641.5,2026-03-08T18:00:00-04:00,actual_recap,1.0,1.0,63,248.0,206.5,1.0,24.0,96.0,208.5,3,980.0,689.0,0.9422,0.8,0.125,6.0,16,0.7,0.7,16,,0.7,0.8784,178.5,53.75,3.3209,6820.0,daily_plan_text,SUPPORT_LEVEL,2026-03-12,post_rth,,1,1320,,ladder_first_reclaim,true,no_reclaim;future_target_leakage;source_after_entry_leakage
direct-9d1ca1f3e4b76463,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,78,2026-03-13,2026-03-12,2026-03-13,,6764.0,6764.0,6764.0,6764.0,,actual_recap,1.0,0.2,0,0.0,0.0,1.0,0.0,0.0,-6.35,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.2875,0.2325,1.0,0.25,4.0,6765.0,daily_plan_text,RESISTANCE_ONLY,2026-03-12,missing,,1,1320,,simple_reclaim_unclassified,true,no_reclaim;target_too_close_for_slippage
direct-72c623e6b2987226,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,80,2026-03-13,2026-03-12,2026-03-09,,6716.0,6705.0,6716.0,6716.0,2026-03-09T10:27:00-04:00,actual_recap,1.0,1.0,45,221.0,102.5,1.0,11.0,44.0,91.5,1,980.0,689.0,0.8089,0.6167,0.5455,2.75,1,0.0,0.0,0,,0.6211,0.7902,10.0,11.25,0.8889,6726.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,rth_open,,1,1320,,simple_reclaim_unclassified,true,no_reclaim;future_target_leakage;source_after_entry_leakage
direct-3470530217d932d0,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,110,2026-03-13,2026-03-12,2026-03-13,,,,,,,planned_setup,0.55,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.0,0.13,,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-f3d28a6973ec68da,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,114,2026-03-13,2026-03-12,2026-03-09,,6750.0,,6750.0,6752.75,2026-03-09T14:19:00-04:00,planned_setup,0.55,0.6521,2,1.0,68.5,1.0,,,,0,980.0,689.0,0.1422,0.85,0.9492,29.5,16,0.7,0.7,15,,0.04,0.467,-0.75,,-3.0,6752.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,afternoon,,3,1320,,simple_reclaim_unclassified,true,no_reclaim;target_missing_or_below_entry;future_target_leakage;source_after_entry_leakage
direct-e52167af8c0e2d3d,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,116,2026-03-13,2026-03-12,2026-03-13,,,,,,,planned_setup,0.55,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.0,0.13,,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-c2cc931f43414513,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,120,2026-03-13,2026-03-12,2026-03-13,,,,,,,context_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.0,0.115,,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-10f96c4e7666f47b,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,122,2026-03-13,2026-03-12,2026-03-09,,6716.0,,6716.0,6716.0,2026-03-09T10:27:00-04:00,planned_setup,0.55,1.0,45,221.0,102.5,1.0,,,,0,980.0,689.0,0.1422,0.6167,0.5455,2.75,1,0.0,0.0,0,,0.76,0.6396,10.0,,40.0,6726.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,rth_open,,3,1320,,simple_reclaim_unclassified,true,no_reclaim;future_target_leakage;source_after_entry_leakage
direct-09c0b7bd62b73e8a,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,133,2026-03-13,2026-03-12,2026-03-13,mancini-es1m:2026-03-13T0845:6721.0:8e30e84dcbf5,6721.0,6703.25,6721.0,6724.25,2026-03-13T08:42:00-04:00,context_recap,0.4,0.5573,3,2.0,4.25,1.0,17.75,71.0,2.3333,4,5308.0,956.0,1.0,0.85,0.8148,6.75,5,0.7,0.7,4,9.0,0.1109,0.614,1.75,21.25,0.0824,6726.0,daily_plan_text,RESISTANCE_ONLY,2026-03-12,overnight_premarket,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260313_0845_6721.0_8e30e84dcbf5.csv,non_acceptance_protocol,true,target_too_close_for_slippage
direct-76c970c5dae9bc65,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,139,2026-03-13,2026-03-12,2026-03-12,,6699.0,,6699.0,6741.5,2026-03-11T18:00:00-04:00,context_recap,0.4,1.0,95,342.0,30.25,1.0,,,,0,252.0,288.0,0.0875,0.8,0.3333,2.25,16,0.7,0.7,16,,0.0,0.5075,-41.5,,-166.0,6700.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,post_rth,,3,1320,,simple_reclaim_unclassified,true,no_reclaim;target_missing_or_below_entry;future_target_leakage;source_after_entry_leakage
direct-e93505840e05a586,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,141,2026-03-13,2026-03-12,2026-03-09,,6750.0,,6750.0,6752.75,2026-03-09T14:19:00-04:00,context_recap,0.4,0.6521,2,1.0,68.5,1.0,,,,0,980.0,689.0,0.1422,0.85,0.9492,29.5,16,0.7,0.7,15,,0.04,0.452,-0.75,,-3.0,6752.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,afternoon,,3,1320,,simple_reclaim_unclassified,true,no_reclaim;target_missing_or_below_entry;future_target_leakage;source_after_entry_leakage
direct-67ac5704d71030a7,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,143,2026-03-13,2026-03-12,2026-03-13,,,,,,,planned_setup,0.55,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.0,0.13,,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-7c1aaa35c3679023,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,153,2026-03-13,2026-03-12,2026-03-13,,,,,,,context_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,443.0,354.0,0.1251,0.0,,,0,0.0,0.0,0,,0.0,0.115,,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-2459bbacad4b0d98,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,157,2026-03-13,2026-03-12,2026-03-13,,6693.0,6693.0,6693.0,6693.75,2026-03-12T18:04:00-04:00,context_recap,0.4,1.0,116,943.0,44.5,1.0,0.0,0.0,-2.8,0,443.0,354.0,0.1251,1.0,0.8571,1.75,6,0.0,0.0,0,,0.6344,0.6919,6.25,1.0,6.25,6700.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,post_rth,,1,1320,,simple_reclaim_unclassified,true,no_reclaim
direct-9066c2ca0c51826c,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,157,2026-03-13,2026-03-12,2026-03-13,,6697.0,6693.0,6697.0,6700.0,2026-03-12T19:16:00-04:00,context_recap,0.4,1.0,116,865.0,40.5,1.0,4.0,16.0,-2.8,0,443.0,354.0,0.3001,1.0,1.0,3.75,16,0.7,0.7,3,,0.0,0.6,0.0,7.25,0.0,6700.0,daily_plan_text,RESISTANCE_ONLY,2026-03-12,post_rth,,1,1320,,simple_reclaim_unclassified,true,no_reclaim;target_missing_or_below_entry
direct-785b4718cd632998,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,185,2026-03-13,2026-03-12,2026-03-12,mancini-es1m:2026-03-12T1919:6699.0:95ee11585d82,6585.0,6680.0,6585.0,6741.5,2026-03-12T19:16:00-04:00,actual_recap,1.0,0.2,0,0.0,0.0,1.0,-95.0,-380.0,1.25,16,252.0,288.0,0.4438,0.8,0.3333,2.25,16,0.4,0.4,0,15.0,0.0,0.4387,-129.5,61.75,-2.0972,6612.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-12,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260312_1919_6699.0_95ee11585d82.csv,simple_reclaim_unclassified,true,target_missing_or_below_entry
